customer_id,rank_score,booking_probability,churn_probability,preferred_channel,whatsapp_optin,call_optin,preferred_contact_hour,days_until_due,last_service_branch,date_scored,contact_result,actual_booking,actual_churn
CUST100832,0.4284937041874647,0.54,0.12,WhatsApp,1,1,19,3,West Bay,2026-07-14,answered,1,0
CUST101887,0.4282108976944339,0.36,0.245,WhatsApp,1,0,19,2,Al Rayyan,2026-07-14,no_answer,0,0
CUST103768,0.4265619701841567,0.475,0.14,WhatsApp,1,1,18,1,Lusail,2026-07-14,answered,1,0
CUST104102,0.4264244261985724,0.61,0.07,Email,1,1,9,3,West Bay,2026-07-14,no_answer,0,0
CUST101693,0.4255694185947554,0.545,0.09,SMS,1,1,15,2,Lusail,2026-07-14,no_answer,0,0
CUST100352,0.4251445372772044,0.555,0.09,SMS,1,0,18,3,Industrial Area,2026-07-14,no_answer,0,0
CUST102574,0.4249267757965507,0.455,0.12,WhatsApp,1,0,15,1,Industrial Area,2026-07-14,answered,0,0
CUST102519,0.4248832157300959,0.44,0.175,SMS,0,1,18,2,Al Rayyan,2026-07-14,answered,1,0
CUST104199,0.4245308278355207,0.47,0.13,WhatsApp,1,1,11,3,Lusail,2026-07-14,answered,0,0
CUST102887,0.4235200122845123,0.53,0.09,WhatsApp,1,1,16,3,West Bay,2026-07-14,no_answer,0,1
